Nom,Adresse,Ville,Metier_normalise,Heures_ouverture,Nombre_avis,Note,Jours_fermeture,Date_introduction,Date_verification,Filtré,Actif
1860 Le Palais,"9 La Canebière Vieux Port, 13001 Marseille, France",Marseille,Restaurant,lundi: 09:00 – 22:30; mardi: 09:00 – 22:30; mercredi: 09:00 – 22:30; jeudi: 09:00 – 22:30; vendredi: 09:00 – 22:30; samedi: 09:00 – 22:30; dimanche: 09:00 – 23:30,1675,4.4,0,2025-10-22,2025-10-24,Non,Oui
AADD (Plombier Marseille Urgence),"93 Rue d'Alger, 13005 Marseille, France",Marseille,Plombier,lundi: Ouvert 24h/24; mardi: Ouvert 24h/24; mercredi: Ouvert 24h/24; jeudi: Ouvert 24h/24; vendredi: Ouvert 24h/24; samedi: Ouvert 24h/24; dimanche: Ouvert 24h/24,147,4.3,6,2025-10-22,2025-10-24,Non,Oui
Alexi's Barber Shop,"77 Rue Sermorens, 38500 Voiron, France",Voiron,Coiffeur_Barbier,"lundi: Fermé; mardi: 09:00 – 12:00, 14:00 – 19:00; mercredi: 09:00 – 12:00, 14:00 – 19:00; jeudi: 09:00 – 12:00, 14:00 – 19:00; vendredi: 09:00 – 19:00; samedi: 09:00 – 17:00; dimanche: Fermé",40,4.9,2,2025-10-22,2025-10-24,Non,Oui
Alpha Plomberie,"58 Chem. des Campanules, 13012 Marseille, France",Marseille,Plombier,,,,,2025-10-22,2025-10-22,Non,Oui
Alpp Plomberie Chauffage,"430 Rte de Palluel, 38340 Voreppe, France",Voreppe,Plombier,lundi: 07:00 – 19:00; mardi: 07:00 – 19:00; mercredi: 07:00 – 19:00; jeudi: 07:00 – 19:00; vendredi: 07:00 – 19:00; samedi: Fermé; dimanche: Fermé,21,4.8,2,2025-10-22,2025-10-24,Non,Oui
AMS Plomberie,"Résidence Valmante, 151 Trav. de la Gouffonne, 13009 Marseille, France",Marseille,Plombier,lundi: Ouvert 24h/24; mardi: Ouvert 24h/24; mercredi: Ouvert 24h/24; jeudi: Ouvert 24h/24; vendredi: Ouvert 24h/24; samedi: Ouvert 24h/24; dimanche: Ouvert 24h/24,179,4.9,6,2025-10-22,2025-10-24,Non,Oui
Aprium Pharmacie Grand Prado,"100 Rue du Rouet, 13008 Marseille, France",Marseille,Pharmacien,lundi: 08:00 – 20:00; mardi: 08:00 – 20:00; mercredi: 08:00 – 20:00; jeudi: 08:00 – 20:00; vendredi: 08:00 – 20:00; samedi: 09:00 – 19:00; dimanche: 08:00 – 20:00,245,4.4,0,2025-10-22,2025-10-24,Non,Oui
Art'Coiffure,"39 Rue de la République, 38430 Moirans, France",Moirans,Coiffeur_Barbier,"lundi: Fermé; mardi: 09:00 – 12:00, 14:00 – 19:00; mercredi: 09:00 – 12:00; jeudi: 09:00 – 12:00, 14:00 – 19:00; vendredi: 09:00 – 18:30; samedi: 09:00 – 16:00; dimanche: Fermé",13,4.9,2,2025-10-22,2025-10-24,Non,Oui
Artisan Boulanger,"47 Rue Liandier, 13008 Marseille, France",Marseille,Boulanger_Patissier,"lundi: 07:00 – 14:00, 16:00 – 19:00; mardi: 07:00 – 14:00, 16:00 – 19:00; mercredi: 07:00 – 14:00, 16:00 – 19:00; jeudi: 07:00 – 14:00, 16:00 – 19:00; vendredi: 07:00 – 14:00, 16:00 – 19:00; samedi: Fermé; dimanche: 07:30 – 13:30",2,4.5,1,2025-10-22,2025-10-24,Non,Oui
"Artisan Boulanger Pâtissier ""Au Pain d'Autrefois""","143 Rue Paradis, 13006 Marseille, France",Marseille,Boulanger_Patissier,lundi: 07:00 – 20:00; mardi: 07:00 – 20:00; mercredi: 07:00 – 20:00; jeudi: 07:00 – 20:00; vendredi: 07:00 – 20:00; samedi: 07:00 – 14:00; dimanche: Fermé,160,4.4,1,2025-10-22,2025-10-24,Non,Oui
"Artisan Boulanger Pâtissier ""Le Pain de l'Opéra""","61 Rue Francis Davso, 13001 Marseille, France",Marseille,Boulanger_Patissier,lundi: 07:00 – 19:30; mardi: 07:00 – 19:30; mercredi: 07:00 – 19:30; jeudi: 07:00 – 19:30; vendredi: 07:00 – 19:30; samedi: 07:00 – 19:30; dimanche: Fermé,431,4.2,1,2025-10-22,2025-10-24,Non,Oui
"Artisan climaticien : M. Bytebier, depuis 1986","335 All. des Acacias, 38430 Moirans, France",Moirans,Plombier,lundi: 08:00 – 19:30; mardi: 08:00 – 19:30; mercredi: 08:00 – 19:30; jeudi: 08:00 – 19:30; vendredi: 08:00 – 19:30; samedi: 09:00 – 18:00; dimanche: Fermé,194,5,1,2025-10-22,2025-10-24,Non,Oui
Au Bouc L'art,"Pl. Charles Gauthier, 38430 Moirans, France",Moirans,Coiffeur_Barbier,lundi: Fermé; mardi: 09:30 – 19:00; mercredi: 09:30 – 19:00; jeudi: 09:30 – 19:00; vendredi: 09:30 – 19:00; samedi: 09:00 – 19:00; dimanche: Fermé,65,4.7,2,2025-10-22,2025-10-24,Non,Oui
Au Coeur du Panier,"18 Rue du Panier, 13002 Marseille, France",Marseille,Restaurant,"lundi: 19:00 – 21:30; mardi: Fermé; mercredi: 19:00 – 21:30; jeudi: 19:00 – 21:30; vendredi: 12:00 – 13:30, 19:00 – 21:30; samedi: 12:00 – 14:00, 19:00 – 21:30; dimanche: 12:00 – 14:00, 19:00 – 21:30",973,4.5,1,2025-10-22,2025-10-24,Non,Oui
Au Contraire Pâtisserie,"1 Boulevard Paul Doumer, Quartier Vauban, Boulevard Notre Dame, 13006 Marseille, France",Marseille,Boulanger_Patissier,"lundi: Fermé; mardi: 09:00 – 13:30, 15:00 – 19:30; mercredi: 09:00 – 13:30, 15:00 – 19:30; jeudi: 09:00 – 13:30, 15:00 – 19:30; vendredi: 09:00 – 13:30, 15:00 – 19:30; samedi: 09:00 – 19:30; dimanche: 10:00 – 13:00",205,4.8,1,2025-10-22,2025-10-24,Non,Oui
Au palais gourmand,"91 Av. Roger Salengro, 13003 Marseille, France",Marseille,Boulanger_Patissier,lundi: Fermé; mardi: 12:30 – 19:00; mercredi: 12:30 – 19:00; jeudi: 12:30 – 19:00; vendredi: 12:30 – 19:00; samedi: 12:30 – 19:00; dimanche: 12:00 – 15:00,162,4.6,1,2025-10-22,2025-10-24,Non,Oui
AUTHENTIQUE BARBIER,"1 Rue Fondere, Rue Maréchal Fayolle, 13004 Marseille, France",Marseille,Coiffeur_Barbier,"lundi: 10:00 – 12:30, 14:00 – 19:00; mardi: 09:30 – 13:00, 14:00 – 19:30; mercredi: 09:00 – 13:00, 14:00 – 19:30; jeudi: 09:00 – 13:00, 14:00 – 19:30; vendredi: 09:00 – 13:00, 14:30 – 20:00; samedi: 09:00 – 13:00, 14:00 – 19:30; dimanche: Fermé",323,4.9,1,2025-10-22,2025-10-24,Non,Oui
Aux Antipodes,"26 Rue Sainte, 13001 Marseille, France",Marseille,Restaurant,"lundi: 18:00 – 22:00; mardi: Fermé; mercredi: 11:00 – 13:30, 18:00 – 22:00; jeudi: 11:00 – 13:30, 18:00 – 22:00; vendredi: 11:00 – 13:30, 18:00 – 23:00; samedi: 18:00 – 23:00; dimanche: 18:00 – 22:00",1198,4.8,1,2025-10-22,2025-10-24,Non,Oui
Barber Crew Voiron,"ZA les blanchisseries, Rue Louis Leprince Ringuet, 38500 Voiron, France",Voiron,Coiffeur_Barbier,lundi: 09:30 – 19:00; mardi: 09:30 – 19:00; mercredi: 09:30 – 19:00; jeudi: 09:30 – 19:00; vendredi: 09:30 – 19:00; samedi: 09:00 – 16:00; dimanche: Fermé,331,4.5,1,2025-10-22,2025-10-24,Non,Oui
BARBER DIASS,"7 Rue Belle de Mai, 13003 Marseille, France",Marseille,Coiffeur_Barbier,lundi: 09:30 – 21:00; mardi: 09:30 – 21:00; mercredi: 09:30 – 21:00; jeudi: 09:30 – 21:00; vendredi: 09:30 – 21:00; samedi: 09:30 – 21:30; dimanche: 09:30 – 21:00,484,4.9,0,2025-10-22,2025-10-24,Non,Oui
Barber Shop Lodi,"126 Rue de Lodi, 13006 Marseille, France",Marseille,Coiffeur_Barbier,lundi: 09:00 – 20:00; mardi: 09:00 – 20:00; mercredi: 09:00 – 20:00; jeudi: 09:00 – 20:00; vendredi: 09:00 – 20:00; samedi: 09:00 – 20:00; dimanche: 09:00 – 20:00,176,4.8,0,2025-10-22,2025-10-24,Non,Oui
Barber Social Club,"50 Rue Sainte, 13001 Marseille, France",Marseille,Coiffeur_Barbier,lundi: Fermé; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: 09:00 – 19:00; dimanche: Fermé,442,4.6,2,2025-10-22,2025-10-24,Non,Oui
Bertocchi Energies,"30 Av. Louis Moyroud, 38430 Moirans, France",Moirans,Plombier,lundi: 08:00 – 18:00; mardi: 08:00 – 18:00; mercredi: 08:00 – 18:00; jeudi: 08:00 – 18:00; vendredi: 08:00 – 18:00; samedi: Fermé; dimanche: Fermé,1,5,2,2025-10-22,2025-10-24,Non,Oui
Bihan Jean-Marie,"54 Rue Jules Moulet, 13006 Marseille, France",Marseille,Plombier,lundi: 07:00 – 19:00; mardi: 07:00 – 19:00; mercredi: 07:00 – 19:00; jeudi: 07:00 – 19:00; vendredi: 07:00 – 19:00; samedi: 07:00 – 17:00; dimanche: Fermé,109,4.8,1,2025-10-22,2025-10-24,Non,Oui
Bistrot l’Horloge,"11 Cr Honoré d'Estienne d'Orves, 13001 Marseille, France",Marseille,Restaurant,lundi: 07:00 – 00:00; mardi: 07:00 – 00:00; mercredi: 07:00 – 00:00; jeudi: 07:00 – 00:00; vendredi: 07:00 – 00:00; samedi: 07:00 – 00:00; dimanche: 08:00 – 00:00,2489,4.6,0,2025-10-22,2025-10-24,Non,Oui
Bonne Miette,"10 Pl. Général de Gaulle, 13001 Marseille, France",Marseille,Boulanger_Patissier,lundi: 08:00 – 19:00; mardi: 08:00 – 19:00; mercredi: 08:00 – 19:00; jeudi: 08:00 – 19:00; vendredi: 08:00 – 19:00; samedi: 08:00 – 19:00; dimanche: Fermé,561,4.6,1,2025-10-22,2025-10-24,Non,Oui
Boulanger La Valentine.,"Centre Commercial Grand V, 117 Trav. de la Montre, 13011 Marseille, France",Marseille,Boulanger_Patissier,lundi: 09:30 – 19:30; mardi: 09:30 – 19:30; mercredi: 09:30 – 19:30; jeudi: 09:30 – 19:30; vendredi: 09:30 – 19:30; samedi: 09:30 – 20:00; dimanche: Fermé,3581,4.1,1,2025-10-22,2025-10-24,Non,Oui
Boulanger Marseille - Saint Ferreol,"48 Rue Saint-Ferréol, 13001 Marseille, France",Marseille,Boulanger_Patissier,lundi: 09:30 – 19:30; mardi: 09:30 – 19:30; mercredi: 09:30 – 19:30; jeudi: 09:30 – 19:30; vendredi: 09:30 – 19:30; samedi: 09:30 – 19:30; dimanche: Fermé,1601,4.1,1,2025-10-22,2025-10-24,Non,Oui
Boulanger Plan De Campagne,"ZONE COMMERCIALE, Plan de Campagne, Axe Principal, Cd 6, 13480 Cabriès, France",Cabriès,Boulanger_Patissier,lundi: 10:00 – 19:00; mardi: 09:30 – 19:30; mercredi: 09:30 – 19:30; jeudi: 09:30 – 19:30; vendredi: 09:30 – 19:30; samedi: 09:30 – 19:30; dimanche: 09:30 – 19:30,3238,4,0,2025-10-22,2025-10-24,Non,Oui
Boulangerie Aixoise,"45 Rue Francis Davso, 13001 Marseille, France",Marseille,Boulanger_Patissier,lundi: 06:30 – 19:30; mardi: 06:30 – 19:30; mercredi: 06:30 – 19:30; jeudi: 06:30 – 19:30; vendredi: 06:30 – 19:30; samedi: 06:30 – 19:30; dimanche: 08:00 – 18:00,868,4.1,0,2025-10-22,2025-10-24,Non,Oui
BOULANGERIE ANGE,"6 Rte de Grenoble, 38430 Moirans, France",Moirans,Boulanger_Patissier,lundi: 06:30 – 19:30; mardi: 06:30 – 19:30; mercredi: 06:30 – 19:30; jeudi: 06:30 – 19:30; vendredi: 06:30 – 19:30; samedi: 06:30 – 19:30; dimanche: 07:00 – 13:00,94,3.5,0,2025-10-22,2025-10-24,Non,Oui
Boulangerie De Marseille,"82 La Canebière, 13001 Marseille, France",Marseille,Boulanger_Patissier,lundi: 05:00 – 00:00; mardi: 05:00 – 00:00; mercredi: Ouvert 24h/24; jeudi: Fermé; vendredi: 05:00 – 00:00; samedi: 05:00 – 00:00; dimanche: 05:00 – 00:00,33,2.1,1,2025-10-22,2025-10-24,Non,Oui
Boulangerie de Moirans,"4 Pl. de Verdun, 39260 Moirans-en-Montagne, France",Moirans-en-Montagne,Boulanger_Patissier,lundi: Fermé; mardi: 06:30 – 20:00; mercredi: 06:30 – 20:00; jeudi: 06:30 – 20:00; vendredi: 06:30 – 20:00; samedi: 06:30 – 20:00; dimanche: 06:30 – 20:00,180,4.5,1,2025-10-22,2025-10-24,Non,Oui
Boulangerie Pâtisserie La Gourmandise,"46 Rue de la République, 38430 Moirans, France",Moirans,Boulanger_Patissier,"lundi: Fermé; mardi: 06:00 – 13:00, 15:30 – 19:00; mercredi: 06:00 – 13:00, 15:30 – 19:00; jeudi: 06:00 – 13:00, 15:30 – 19:00; vendredi: 06:00 – 13:00, 15:30 – 19:00; samedi: 06:00 – 13:00, 15:30 – 19:00; dimanche: Fermé",162,4.7,2,2025-10-22,2025-10-24,Non,Oui
Boulangerie Pâtisserie La Moironnaise,"Pl. de l'Assemblée Départementale, 38430 Moirans, France",Moirans,Boulanger_Patissier,lundi: 06:30 – 19:00; mardi: 06:30 – 19:00; mercredi: 06:30 – 19:00; jeudi: 06:30 – 19:00; vendredi: 06:30 – 19:00; samedi: 06:30 – 13:00; dimanche: Fermé,137,4.7,1,2025-10-22,2025-10-24,Non,Oui
Boulangerie-Café Pain Salvator,"32 Bd Louis Salvator, 13006 Marseille, France",Marseille,Boulanger_Patissier,lundi: Fermé; mardi: 08:30 – 19:00; mercredi: 08:30 – 19:00; jeudi: 08:30 – 19:00; vendredi: 08:30 – 19:00; samedi: 08:30 – 19:00; dimanche: Fermé,315,4.6,2,2025-10-22,2025-10-24,Non,Oui
BOULIOU Claire,"RESIDENCE ALLEGRO, 5 b Rue Séraphin Martin, 38430 Moirans, France",Moirans,Dentiste,lundi: 08:30 – 18:00; mardi: Fermé; mercredi: Fermé; jeudi: 08:30 – 18:30; vendredi: 08:30 – 16:30; samedi: Fermé; dimanche: Fermé,13,3.8,4,2025-10-22,2025-10-24,Non,Oui
Brasserie Chavant Voiron,"72 Av. Léon et Joanny Tardy, 38500 Voiron, France",Voiron,Restaurant,"lundi: 12:00 – 14:00, 19:00 – 22:00; mardi: 12:00 – 14:00, 19:00 – 22:00; mercredi: 12:00 – 14:00, 19:00 – 22:00; jeudi: 12:00 – 14:00, 19:00 – 22:00; vendredi: 12:00 – 14:00, 19:00 – 22:00; samedi: 12:00 – 14:00, 19:00 – 22:00; dimanche: 12:00 – 14:00, 19:00 – 22:00",2399,4.5,0,2025-10-22,2025-10-24,Non,Oui
Brasserie la belle chartreuse,"Centr’alp, 131 Rue des Étangs, 38430 Moirans, France",Moirans,Restaurant,lundi: 11:30 – 15:00; mardi: 11:30 – 15:00; mercredi: 11:30 – 15:00; jeudi: 11:30 – 23:00; vendredi: 11:30 – 23:00; samedi: Fermé; dimanche: Fermé,108,4.4,2,2025-10-22,2025-10-24,Non,Oui
Bricoleurs de douceurs,"256 Rue d'Endoume, 13007 Marseille, France",Marseille,Boulanger_Patissier,"lundi: Fermé; mardi: 10:00 – 13:30, 15:30 – 19:00; mercredi: 10:00 – 13:30, 15:30 – 19:00; jeudi: 10:00 – 13:30, 15:30 – 19:00; vendredi: 10:00 – 13:30, 15:30 – 19:00; samedi: 09:30 – 13:00, 14:00 – 19:00; dimanche: 09:30 – 13:00",475,4.5,1,2025-10-22,2025-10-24,Non,Oui
Cabinet Dentaire de la Sure,"340 Rue de l'Eygala, 38430 Moirans, France",Moirans,Dentiste,"lundi: 09:00 – 12:00, 14:00 – 18:00; mardi: 09:00 – 12:00, 14:00 – 18:00; mercredi: 09:00 – 12:00, 14:00 – 18:00; jeudi: 09:00 – 12:00, 14:00 – 18:00; vendredi: 09:00 – 12:00, 14:00 – 18:00; samedi: Fermé; dimanche: Fermé",1,1,2,2025-10-22,2025-10-24,Non,Oui
Cabinet Dentaire Hôpital Européen - HESD,"106 Bd de Paris, 13003 Marseille, France",Marseille,Dentiste,lundi: 08:00 – 18:15; mardi: 08:00 – 18:15; mercredi: 08:00 – 18:15; jeudi: 08:00 – 18:15; vendredi: 08:00 – 14:00; samedi: Fermé; dimanche: Fermé,378,4.5,2,2025-10-22,2025-10-24,Non,Oui
Cabinet Dentaire La Major. Dr Reynaud Chloe . Dr Le Rider Agathe. Dr Bach Margot. Dr Duc Dodon Camille . Dentiste 13002,"27 Av. Robert Schuman, 13002 Marseille, France",Marseille,Dentiste,lundi: 08:00 – 19:00; mardi: 08:00 – 19:00; mercredi: 08:00 – 19:00; jeudi: 08:00 – 19:00; vendredi: 08:00 – 19:00; samedi: Fermé; dimanche: Fermé,126,4.4,2,2025-10-22,2025-10-24,Non,Oui
Cabinet Dentaire Maupassant,"224 Av. du Prado, 13008 Marseille, France",Marseille,Dentiste,,,,,2025-10-22,2025-10-22,Non,Oui
CABINET DENTAIRE SAINT JUST MARSEILLE 13,"Le métropolitain entrée latérale droite, 140 Rue Alphonse Daudet, 13013 Marseille, France",Marseille,Dentiste,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,522,4.8,2,2025-10-22,2025-10-24,Non,Oui
Café de la Mairie,"65 Pl. de l'Assemblée Départementale, 38430 Moirans, France",Moirans,Restaurant,lundi: 06:30 – 19:00; mardi: 06:30 – 19:00; mercredi: 06:30 – 19:30; jeudi: 06:30 – 19:30; vendredi: 06:30 – 19:30; samedi: 07:00 – 14:30; dimanche: Fermé,245,4.6,1,2025-10-22,2025-10-24,Non,Oui
Calheiros Plomberie Rénovation,"1470 Chem. du Vert, 38210 Tullins, France",Tullins,Plombier,lundi: 08:00 – 19:00; mardi: 08:00 – 19:00; mercredi: 08:00 – 19:00; jeudi: 08:00 – 19:00; vendredi: 08:00 – 19:00; samedi: Fermé; dimanche: Fermé,12,5,2,2025-10-22,2025-10-24,Non,Oui
Carmelina,"1328 Rue Aristide Berges, 38340 Moirans, France",Moirans,Restaurant,"lundi: 11:45 – 14:00; mardi: 11:45 – 14:00; mercredi: 11:45 – 14:00; jeudi: 11:45 – 14:00, 19:00 – 22:00; vendredi: 11:45 – 14:00, 19:00 – 22:00; samedi: 19:00 – 22:00; dimanche: Fermé",741,4.4,1,2025-10-22,2025-10-24,Non,Oui
Cartier Coiffure Conseil en image,"20 Rue Armény, 13006 Marseille, France",Marseille,Coiffeur_Barbier,lundi: Fermé; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: 09:00 – 19:00; dimanche: Fermé,169,4.7,2,2025-10-22,2025-10-24,Non,Oui
Catanzaro Plomberie,"47 Chemin Rural, 34 Chem. la Valbarelle À Saint-Marcel, 13010 Marseille, France",Marseille,Plombier,lundi: 07:00 – 20:00; mardi: 07:00 – 20:00; mercredi: 07:00 – 20:00; jeudi: 07:00 – 20:00; vendredi: 07:00 – 20:00; samedi: 07:00 – 20:00; dimanche: Fermé,258,5,1,2025-10-22,2025-10-24,Non,Oui
CDM Centre Dentaire Marseille,"20-26 Rue Caisserie, 13002 Marseille, France",Marseille,Dentiste,,,,,2025-10-22,2025-10-22,Non,Oui
Ceccaldi Franck,"Le Xenon- Centr'alp, 340 Rue de l'Eygala, 38430 Moirans, France",Moirans,Dentiste,Non disponible,10,4.1,0,2025-10-22,2025-10-24,Non,Oui
Centre Commercial Centre Bourse,"17 Cr Belsunce, 13001 Marseille, France",Marseille,Pharmacien,lundi: 10:00 – 19:00; mardi: 10:00 – 19:00; mercredi: 10:00 – 19:00; jeudi: 10:00 – 19:00; vendredi: 10:00 – 19:00; samedi: 10:00 – 19:00; dimanche: Fermé,18872,4,1,2025-10-22,2025-10-24,Non,Oui
Centre Dentaire Dentali Marseille,"2 Rue Jean-Baptiste Fortune Lavastre, 13001 Marseille, France",Marseille,Dentiste,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,237,4.7,2,2025-10-22,2025-10-24,Non,Oui
Centre Dentaire Marseille Canebiere Dentelia - Dentiste Marseille,"60 La Canebière, 13001 Marseille, France",Marseille,Dentiste,lundi: 09:00 – 19:30; mardi: 09:00 – 19:30; mercredi: 09:00 – 19:30; jeudi: 09:00 – 19:30; vendredi: 09:00 – 19:30; samedi: Fermé; dimanche: Fermé,186,4.3,2,2025-10-22,2025-10-24,Non,Oui
Centre Dentaire Marseille République : Dentiste et Cabinet d'orthodontie Marseille - Dentego,"102 Rue de la République, 13002 Marseille, France",Marseille,Dentiste,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,373,4.7,2,2025-10-22,2025-10-24,Non,Oui
CENTRE DENTAIRE SAINT JUST MARSEILLE 13,"41 Rue Alphonse Daudet, 13013 Marseille, France",Marseille,Dentiste,"lundi: 09:00 – 13:00, 14:00 – 18:00; mardi: 09:00 – 13:00, 14:00 – 18:00; mercredi: 09:00 – 13:00, 14:00 – 18:00; jeudi: 09:00 – 13:00, 14:00 – 18:00; vendredi: 09:00 – 16:00; samedi: Fermé; dimanche: Fermé",424,4.8,2,2025-10-22,2025-10-24,Non,Oui
Centre dentaire Saint Tronc 13010,"249 Rue Pierre Doize, 13010 Marseille, France",Marseille,Dentiste,,,,,2025-10-22,2025-10-22,Non,Oui
Chez Nous,"22 Pl. Notre Dame du Mont, 13006 Marseille, France",Marseille,Restaurant,lundi: Fermé; mardi: Fermé; mercredi: 19:00 – 22:00; jeudi: 19:00 – 22:00; vendredi: 19:00 – 22:00; samedi: 19:00 – 22:00; dimanche: 19:00 – 22:00,762,4.8,2,2025-10-22,2025-10-24,Non,Oui
CIED Cabinet d'Implantologie et d'Esthétique Dentaire Marseille,"1 Bd Longchamp, 13001 Marseille, France",Marseille,Dentiste,,,,,2025-10-22,2025-10-22,Non,Oui
Claire Coiff',"92 Rue de la République, 38430 Moirans, France",Moirans,Coiffeur_Barbier,"lundi: Fermé; mardi: 09:00 – 12:00, 14:00 – 18:00; mercredi: Fermé; jeudi: 09:00 – 12:00, 14:00 – 18:00; vendredi: 09:00 – 18:00; samedi: 09:00 – 12:00; dimanche: Fermé",7,4.3,3,2025-10-22,2025-10-24,Non,Oui
"Clinadent - Centre de Santé Dentaire Marseille 8, Prado-Périer","108 Av. du Prado, 13008 Marseille, France",Marseille,Dentiste,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,805,4.7,2,2025-10-22,2025-10-24,Non,Oui
Clinadent - Centre dentaire Marseille 3 National,"149-151, Bd National, 13003 Marseille, France",Marseille,Dentiste,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,507,4.7,2,2025-10-22,2025-10-24,Non,Oui
Clinadent - Centre Dentaire Marseille 5 Saint-Pierre - La Timone,"349 Rue Saint-Pierre, 13005 Marseille, France",Marseille,Dentiste,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,726,4.5,2,2025-10-22,2025-10-24,Non,Oui
Clinadent - Centre dentaire Marseille 5 Sakakini,"92 Bd Sakakini, 13005 Marseille, France",Marseille,Dentiste,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,715,4.7,2,2025-10-22,2025-10-24,Non,Oui
"Clinadent - Centre Dentaire Marseille 7, 4 septembre","1 Pl. du 4 Septembre, 13007 Marseille, France",Marseille,Dentiste,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,568,4.7,2,2025-10-22,2025-10-24,Non,Oui
"Clinadent - Centre Dentaire Marseille 8, Negresko","26 Rue Negresko, 13008 Marseille, France",Marseille,Dentiste,lundi: 09:00 – 19:00; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: Fermé; dimanche: Fermé,697,4.6,2,2025-10-22,2025-10-24,Non,Oui
Croustine,"35 Rte de Grenoble, 38430 Moirans, France",Moirans,Boulanger_Patissier,lundi: 06:30 – 19:30; mardi: 06:30 – 19:30; mercredi: 06:30 – 19:30; jeudi: 06:30 – 19:30; vendredi: 06:30 – 19:30; samedi: 07:00 – 15:00; dimanche: Fermé,494,4.1,1,2025-10-22,2025-10-24,Non,Oui
CUT HOUSE,"11 Rue du Colombier, 38500 Voiron, France",Voiron,Coiffeur_Barbier,lundi: Fermé; mardi: Fermé; mercredi: 10:00 – 20:00; jeudi: 10:00 – 20:00; vendredi: 10:00 – 21:00; samedi: 10:00 – 21:00; dimanche: Fermé,350,5,3,2025-10-22,2025-10-24,Non,Oui
Cyka Plomberie,"41 C Av. André Zénatti, 13008 Marseille, France",Marseille,Plombier,lundi: 08:00 – 20:00; mardi: 08:00 – 20:00; mercredi: 08:00 – 20:00; jeudi: 08:00 – 20:00; vendredi: 08:00 – 17:00; samedi: Fermé; dimanche: Fermé,101,4.9,2,2025-10-22,2025-10-24,Non,Oui
Côté Bouchon Côté Bistrot,"117 Rue de la République, 38430 Moirans, France",Moirans,Restaurant,"lundi: Fermé; mardi: 08:30 – 15:00; mercredi: 08:30 – 15:00; jeudi: 08:30 – 15:00; vendredi: 08:30 – 15:00, 19:30 – 22:30; samedi: 08:30 – 15:00, 19:30 – 22:30; dimanche: 08:30 – 11:00",309,4.6,1,2025-10-22,2025-10-24,Non,Oui
Cœur de beauté,"41 Rte des Vignes, 38430 Moirans, France",Moirans,Coiffeur_Barbier,"lundi: 08:30 – 11:30, 14:30 – 19:00; mardi: 08:30 – 11:30, 13:30 – 19:00; mercredi: Fermé; jeudi: 08:30 – 11:30, 13:30 – 19:00; vendredi: 09:00 – 11:30, 13:30 – 19:00; samedi: 09:00 – 12:00, 13:00 – 16:30; dimanche: Fermé",12,5,2,2025-10-22,2025-10-24,Non,Oui
Dalton Brothers Barber Shop Marseille,"35 Rue Longue des Capucins, 13001 Marseille, France",Marseille,Coiffeur_Barbier,lundi: 10:00 – 20:00; mardi: 10:00 – 20:00; mercredi: 10:00 – 20:00; jeudi: 10:00 – 20:00; vendredi: 10:00 – 20:00; samedi: 10:00 – 20:00; dimanche: Fermé,526,4.9,1,2025-10-22,2025-10-24,Non,Oui
