Nom,Adresse,Ville,Metier_normalise,Heures_ouverture,Nombre_avis,Note,Jours_fermeture,Date_introduction,Date_verification,Filtré,Actif
Restaurant Les Arcenaulx Marseille Vieux Port,"25 Cr Honoré d'Estienne d'Orves, 13001 Marseille, France",Marseille,Restaurant,"lundi: 12:00 – 14:30, 19:30 – 22:30; mardi: 12:00 – 14:30, 19:30 – 22:30; mercredi: 12:00 – 14:30, 19:30 – 22:30; jeudi: 12:00 – 14:30, 19:30 – 22:30; vendredi: 12:00 – 14:30, 19:30 – 22:30; samedi: 12:00 – 14:30, 19:30 – 22:30; dimanche: Fermé",1536,4.4,1,2025-10-22,2025-10-24,Non,Oui
Restaurant Safran,"26 Cr Honoré d'Estienne d'Orves, 13001 Marseille, France",Marseille,Restaurant,lundi: 12:00 – 02:00; mardi: 12:00 – 02:00; mercredi: 12:00 – 02:00; jeudi: 12:00 – 02:00; vendredi: 12:00 – 02:00; samedi: 12:00 – 02:00; dimanche: 12:00 – 02:00,360,4.6,0,2025-10-22,2025-10-24,Non,Oui
SABAB Studio & Co - SALON DE COIFFURE MULTI-TEXTURES (BOUCLES EXPERT / PERMANENTE),"53 Rue de Forbin, 13002 Marseille, France",Marseille,Coiffeur_Barbier,lundi: Fermé; mardi: 10:00 – 17:00; mercredi: 10:00 – 19:00; jeudi: 10:00 – 19:00; vendredi: 10:00 – 19:00; samedi: 10:00 – 19:00; dimanche: Fermé,285,4.8,2,2025-10-22,2025-10-24,Non,Oui
Salon de coiffure Aquazen Caroline,"174 Imp. des Genêts, 38500 Coublevie, France",Coublevie,Coiffeur_Barbier,,,,,2025-10-22,2025-10-22,Non,Oui
Salon Hair Spa Marseille,"1 bis Rue d'Hozier, 13002 Marseille, France",Marseille,Coiffeur_Barbier,lundi: Fermé; mardi: 09:30 – 17:00; mercredi: 09:30 – 17:00; jeudi: 09:30 – 17:00; vendredi: 09:30 – 17:00; samedi: 09:30 – 17:00; dimanche: Fermé,408,4.9,2,2025-10-22,2025-10-24,Non,Oui
Salon Rêve Coiffure,"10 Rue Lafon, 13006 Marseille, France",Marseille,Coiffeur_Barbier,lundi: Fermé; mardi: 09:00 – 18:30; mercredi: 09:00 – 18:30; jeudi: 09:00 – 18:30; vendredi: 09:00 – 18:30; samedi: 09:00 – 18:30; dimanche: Fermé,280,4.9,2,2025-10-22,2025-10-24,Non,Oui
Sarl HB Plomberie,"85 Trav. Prat, 13008 Marseille, France",Marseille,Plombier,lundi: 07:00 – 19:00; mardi: 07:00 – 19:00; mercredi: 07:00 – 19:00; jeudi: 07:00 – 19:00; vendredi: 07:00 – 19:00; samedi: 07:00 – 12:30; dimanche: Fermé,67,5,1,2025-10-22,2025-10-24,Non,Oui
SAS Gastaldin Plomberie,"542 Av. de Stalingrad, 38340 Voreppe, France",Voreppe,Plombier,,,,,2025-10-22,2025-10-22,Non,Oui
Serge Thermic,"321 Rue Vincent Martin, 38430 Moirans, France",Moirans,Plombier,Non disponible,9,4.1,0,2025-10-22,2025-10-24,Non,Oui
Solyna Energie E.I.,"Rue du Champ de la Cour, 38430 Saint-Jean-de-Moirans, France",Saint-Jean-de-Moirans,Plombier,lundi: 08:00 – 18:00; mardi: 08:00 – 18:00; mercredi: 08:00 – 18:00; jeudi: 08:00 – 18:00; vendredi: 08:00 – 18:00; samedi: 08:00 – 18:00; dimanche: Fermé,13,5,1,2025-10-22,2025-10-24,Non,Oui
Sotherm,"3 Rue de Kerdréan, 38430 Moirans, France",Moirans,Plombier,lundi: 07:00 – 19:00; mardi: 07:00 – 19:00; mercredi: 07:00 – 19:00; jeudi: 07:00 – 19:00; vendredi: 07:00 – 19:00; samedi: Fermé; dimanche: Fermé,14,2.9,2,2025-10-22,2025-10-24,Non,Oui
SUBLIMDENT Moirans - Centre Dentaire,"105 Rue de la République, 38430 Moirans, France",Moirans,Dentiste,lundi: 08:30 – 19:00; mardi: 08:30 – 19:00; mercredi: 08:30 – 19:00; jeudi: 08:30 – 17:30; vendredi: Fermé; samedi: Fermé; dimanche: Fermé,308,4.4,3,2025-10-22,2025-10-24,Non,Oui
T65,"35 Av. de la Corse, 13007 Marseille, France",Marseille,Boulanger_Patissier,lundi: Fermé; mardi: 07:30 – 19:30; mercredi: 07:30 – 19:30; jeudi: 07:30 – 19:30; vendredi: 07:30 – 19:30; samedi: 07:30 – 19:30; dimanche: 07:30 – 13:30,292,4,1,2025-10-22,2025-10-24,Non,Oui
THE BARBER BY LACRIM 13,"192 Bd Baille, 13005 Marseille, France",Marseille,Coiffeur_Barbier,,,,,2025-10-22,2025-10-22,Non,Oui
